Wall time,Step,Value,Smoothed
1579544729.29078,12846577.00000,86.22216,7.65496
1579544729.31853,12845238.00000,84.70354,7.60930
1579544849.37008,12976558.00000,82.06663,7.53390
1579545089.45473,13238984.00000,79.86674,7.61002
1579545089.46326,13240106.00000,66.29042,7.71410
1579545089.46619,13239450.00000,82.34853,7.66696
1579545089.47166,13238740.00000,87.33973,7.49364
1579545149.80343,13305203.00000,80.05175,7.59696
1579545210.07488,13371258.00000,53.55095,7.39460
1579545270.12229,13435640.00000,84.50124,7.49846
1579545270.12617,13436738.00000,86.50570,7.42555
1579545270.15071,13436126.00000,84.70536,7.53040
1579545330.60566,13501008.00000,81.52045,7.63375
1579545330.61028,13500569.00000,-169.94041,7.73487
1579545390.92135,13566117.00000,-164.14246,7.83655
1579545451.05925,13631634.00000,69.54516,7.65044
1579545451.06879,13632755.00000,79.39140,7.02898
1579545632.24094,13828620.00000,82.98994,6.95229
1579545632.25234,13830073.00000,-63.17694,6.90591
1579545632.25974,13828968.00000,-14.94724,6.61118
1579545692.67825,13893697.00000,79.32840,5.90360
1579545692.69566,13895637.00000,-71.31282,5.97169
1579545692.71526,13894190.00000,-185.37160,5.91371
1579545692.73350,13895463.00000,60.29873,5.86979
1579545813.27696,14026077.00000,-59.73698,5.84179
1579545813.28902,14025701.00000,-22.70230,5.91396
1579545934.87229,14156199.00000,-30.46800,5.84510
1579545934.88384,14156895.00000,-91.43952,5.79164
1579546056.01253,14288822.00000,84.49334,5.73174
1579546115.86425,14352693.00000,53.71924,5.83592
1579546237.19495,14483839.00000,-8.49312,5.78459
1579546237.21424,14484755.00000,3.82745,5.89123
1579546357.81719,14616056.00000,77.64233,5.79475
1579546357.82671,14616316.00000,-347.04443,5.89476
1579546357.83022,14616422.00000,45.98916,5.97076
1579546418.45251,14681533.00000,61.19352,5.94985
1579546418.47435,14681848.00000,80.77586,5.61620
1579546418.49247,14681912.00000,-329.05856,5.71949
1579546418.49997,14681153.00000,80.78878,5.67726
1579546479.16316,14746038.00000,-145.13722,5.61377
1579546539.95781,14811243.00000,-93.90961,5.58990
1579546539.96614,14812077.00000,-40.84430,5.51469
1579546600.65910,14878200.00000,-172.52104,5.36871
1579546661.63518,14943297.00000,76.65022,5.46917
1579546661.65791,14944185.00000,-18.33403,5.54608
1579546661.66215,14943088.00000,85.28857,5.50251
1579546842.91137,15140238.00000,81.11897,5.59906
1579546842.92101,15140685.00000,80.01617,5.50395
1579546842.94010,15140064.00000,56.55043,5.50602
1579546903.62438,15204805.00000,-47.38716,5.63331
1579546903.63478,15206208.00000,85.91228,5.76627
1579546903.63568,15205343.00000,81.61734,5.84984
1579546964.16836,15270338.00000,-40.98945,5.85086
1579547085.13589,15401852.00000,82.39645,5.84614
1579547146.32573,15466820.00000,74.37991,5.81072
1579547206.94105,15533605.00000,-48.98731,5.80181
1579547206.94575,15532901.00000,-46.92524,5.93025
1579547206.94757,15532655.00000,-74.75925,5.24149
1579547206.96082,15533533.00000,87.96068,5.13058
1579547206.96664,15533617.00000,76.17783,5.06084
1579547267.77597,15598006.00000,79.40882,5.18577
1579547328.45748,15663850.00000,79.90466,5.31862
1579547388.68110,15728954.00000,-61.31733,5.49080
1579547448.87497,15795648.00000,-58.46124,5.57112
1579547448.88850,15794419.00000,-8.18147,5.52161
1579547448.91706,15794890.00000,82.34338,5.46109
1579547508.86871,15860951.00000,81.81151,5.47884
1579547508.89984,15860386.00000,77.80236,5.65514
1579547569.40344,15926534.00000,-116.23713,5.62357
1579547569.40929,15926829.00000,86.71651,5.82874
1579547690.62039,16057838.00000,83.44929,6.01533
1579547751.47537,16123750.00000,-90.81100,6.18678
1579547811.63465,16188447.00000,85.59141,6.36112
1579547872.33266,16253799.00000,-73.20321,6.56068
1579547932.31522,16319620.00000,86.71844,6.74652
1579547932.36560,16318662.00000,-13.18342,6.97354
1579547992.60967,16384322.00000,-24.54835,7.15191
1579548053.21316,16450316.00000,10.54081,7.18421
1579548174.12024,16582648.00000,-123.48508,7.52344
1579548174.12926,16581025.00000,79.18676,7.48707
1579548234.35054,16647889.00000,85.58621,7.67337
1579548295.07202,16711682.00000,-6.61948,7.72015
1579548416.34675,16843909.00000,80.11973,7.90129
1579548416.35992,16843781.00000,63.00203,7.78686
1579548416.37795,16843178.00000,79.80663,7.80855
1579548476.70658,16908540.00000,-90.85440,7.80820
1579548476.73814,16908835.00000,80.22726,7.96297
1579548476.74761,16909440.00000,-7.77406,8.15033
1579548476.74938,16910247.00000,44.76714,8.32677
1579548536.45813,16975043.00000,62.35297,8.29382
1579548657.31377,17105585.00000,-75.32357,8.29004
1579548657.31952,17105073.00000,83.52895,8.29492
